title,vqq_score,need_vip,cast,play_amt,vqq_play_link,img_link
肖申克的救赎,9.7,True,主演：蒂姆·罗宾斯 摩根·弗里曼 鲍勃·冈顿 威廉姆·赛德勒 克兰西·布朗,5291万,"<a href=""https://v.qq.com/x/cover/1o29ui77e85grdr.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/1o29ui77e85grdr1559271626/220"">"
霸王别姬,9.6,True,主演：张国荣 张丰毅 巩俐 葛优,4672万,"<a href=""https://v.qq.com/x/cover/j3czmhisqin799r.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/j3czmhisqin799rt1444885520.jpg/220"">"
辛德勒的名单,9.5,True,主演：连姆·尼森 拉尔夫·费因斯 本·金斯利 艾伯丝·戴维兹 胡契克·卡勒塔 杰拉德·亚历山大·海德 卡罗琳·古道,1547万,"<a href=""https://v.qq.com/x/cover/dr37tbvercpqsko.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/dr37tbvercpqskot1444819089.jpg/220"">"
美丽人生,9.5,True,主演：罗伯托·贝尼尼 尼可莱塔·布拉斯基 乔治·坎塔里尼,1845万,"<a href=""https://v.qq.com/x/cover/1weku8f23n0j12s.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/1weku8f23n0j12st1444805258.jpg/220"">"
阿甘正传,9.5,True,主演：汤姆·汉克斯 罗宾·怀特 加里·西尼斯,4379万,"<a href=""https://v.qq.com/x/cover/r6hc2kqgvnmiejn.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/r6hc2kqgvnmiejnt1444971006.jpg/220"">"
这个杀手不太冷,9.5,True,主演：娜塔莉·波特曼,6713万,"<a href=""https://v.qq.com/x/cover/fvue88y1fsnk4w2.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/fvue88y1fsnk4w2t1473739213.jpg/220"">"
地球之盐,9.5,True,主演：塞巴斯蒂昂·萨尔加多 维姆·文德斯,1728万,"<a href=""https://v.qq.com/x/cover/vvso3ob61erhxwa.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/vvso3ob61erhxwa1525917878/220"">"
泰坦尼克号,9.5,True,主演：莱昂纳多·迪卡普里奥 凯特·温斯莱特 比利·赞恩 凯西·贝茨 弗兰西丝·费舍 格劳瑞亚·斯图尔特,7549万,"<a href=""https://v.qq.com/x/cover/t5jqhgw8pix81mw.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/t5jqhgw8pix81mw1559705991/220"">"
小森林 夏秋篇,9.5,True,主演：三浦贵大 桥本爱 温水洋一 松冈茉优,6544万,"<a href=""https://v.qq.com/x/cover/yz98ta4nfjtaa6q.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/yz98ta4nfjtaa6qt1444950097.jpg/220"">"
疯狂动物城,9.5,True,2016年度动漫电影口碑神作,2亿,"<a href=""https://v.qq.com/x/cover/fhe2h7sop52qzza.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/fhe2h7sop52qzza1559132364/220"">"
绿皮书,9.5,True,主演：维果·莫特森 马赫沙拉·阿里 琳达·卡德里尼 塞巴斯蒂安·马尼斯科 迪米特·D·马里诺夫 迈克·哈顿,6843万,"<a href=""https://v.qq.com/x/cover/r9umzdo0yjelfg1.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/r9umzdo0yjelfg11554868483/220"">"
星际穿越,9.5,True,主演：马修·麦康纳 比尔·欧文,1亿,"<a href=""https://v.qq.com/x/cover/c2seabnsfozypl8.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/c2seabnsfozypl81523522065/220"">"
